,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3,,,,,,,,,,,,,,,,,,Week 4,,,,,,,,,,,,,,,,,,,Week 5,,,,,,,,,,,,,,,,,,week 6 pivot,,,,,,,,,,,,,,,
D1,Planned,,,,,,,,,Executed,,,,,,,,D1,Planned,,,,,,,,,Executed,,,,,,,,,D1,Planned,,,,,,,,,Executed,,,,,,,,,,,,,,,,,,,,,,,
,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,Day 1,,,,,,,,,,,,,,,
,deadlift sumo,,,1,6,185,,0.863,214.4,deadlift,1,6,185,214.4,0.863,,,,deadlift sumo,,,1,7,190,,0.892,213,deadlift,1,7,190,213,0.892,,,,,deadlift sumo,,,1,8,195~200,,0.922,#VALUE!,deadlift,1,7.5,210,231.5,0.907,,,Planned,,,,,,,,,Executed,,,,,,
,,,,4,5.5,157.5,-5%,0.774,203.5,,4,6,157.5,200.4,0.786,-6.5,,,,,,4,6,167.5,,0.786,213.1,,4,7.5,170,206.3,0.824,-3.1,,,,,,,4,7,187.5,,0.811,231.2,,4,7,180,221.9,0.811,-4.1,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop
,,,2 sets,4,5,152.5,,0.762,200.1,,4,5,150,196.9,0.762,-1.7,,,,,2 sets,4,5.5,160,,0.774,206.7,,4,5,160,210,0.762,0,,,,,,2 sets,4,6.5,177.5,,0.798,222.4,,4,6.5,175,219.3,0.798,-1.2,,deadlift sumo,,,1,5,190,,0.837,227,deadlift,1,7,190,213,0.892,
,bench press,comp paused,,1,6.5,117.5,,0.878,133.8,bench ,1,7,120,134.5,0.892,,,,bench press,comp paused,,1,7.5,122.5,,0.907,135.1,bench ,1,8,122.5,132.9,0.922,,,,,bench press,comp paused,,1,8.5,125,,0.938,133.3,bench ,1,8,125,135.6,0.922,,,,,,1,5,177.5,,0.837,212.1,,1,6,177.5,205.7,0.863,-3.4
,,,,4,6,105,,0.786,133.6,,4,6.5,105,131.6,0.798,-2.2,,,,,,4,6,105,,0.786,133.6,,4,6,105,133.6,0.786,0,,,,,,,4,7.5,112.5,,0.824,136.5,,4,8,110,131.4,0.837,-3.1,,,,2 sets,4,5,150,-5%,0.762,196.9,,4,5,150,196.9,0.762,-4.3
,,,2 sets,4,5.5,102.5,,0.774,132.4,,4,5.5,102.5,132.4,0.774,0,,,,,2 sets,4,5.5,102.5,,0.774,132.4,,4,5.5,102.5,132.4,0.774,-0.9,,,,,,2 sets,4,6.5,105,,0.798,131.6,,4,6.5,105,131.6,0.798,0,,bench press,comp paused,,1,5.5,115,,0.850,135.3,bench ,1,5,115,137.4,0.837,
,,incline smith press,2 sets,10~12,7,,,,,,,,,,,,,,,incline smith press,2 sets,10~12,7,,,,,,,,,,,,,,,,incline smith press,2 sets,10~12,7,,,,,,,,,,,,,,,,4,5.5,107.5,,0.774,138.9,,4,6,107.5,136.8,0.786,-0.4
,,horizontal pull/t bar row,3 sets,10-12,9,,,,,,,,,,,,,,,horizontal pull/t bar row,3 sets,10-12,9,,,,,,,,,,,,,,,,horizontal pull/t bar row,3 sets,10-12,9,,,,,,,,,,,,,,,2 sets,4,5,105,,0.762,137.8,,4,6,105,133.6,0.786,-2.3
,,vertical pulldown,3 sets,10-12,9,,,,,,,,,,,,,,,vertical pulldown,3 sets,10-12,9,,,,,,,,,,,,,,,,vertical pulldown,3 sets,10-12,9,,,,,,,,,,,,,,incline smith press,2 sets,10~12,5,,,,,,,,,,,
,,hip adduction+abduction,2 sets,10-12,7,,,,,,,,,,,,,,,hip adduction+abduction,2 sets,10-12,7,,,,,,,,,,,,,,,,hip adduction+abduction,2 sets,10-12,7,,,,,,,,,,,,,,horizontal pull/t bar row,3 sets,10-12,5,,,,,,,,,,,
,,humstring curls,2 sets,10-12,7,,,,,,,,,,,,,,,humstring curls,2 sets,10-12,7,,,,,,,,,,,,,,,,humstring curls,2 sets,10-12,7,,,,,,,,,,,,,,vertical pulldown,3 sets,10-12,5,,,,,,,,,,,
D2,Planned,,,,,,,,,Executed,,,,,,,,D2,Planned,,,,,,,,,Executed,,,,,,,,,D2,Planned,,,,,,,,,Executed,,,,,,,,,hip adduction+abduction,2 sets,10-12,5,,,,,,,,,,,
,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,humstring curls,2 sets,10-12,5,,,,,,,,,,,
,squat,low bar,,1,6,162.5,,0.863,188.3,squat,1,6,165,191.2,0.863,,,,squat,low bar,,1,7,167.5,,0.892,187.8,squat,1,7,170,190.6,0.892,,,,,squat,low bar,,1,8,177.5~182.5,,0.922,#VALUE!,squat,1,9,182.5,191.1,0.955,,,,,,,,,,,,,,,,,,
,,,,4,6,147.5,-2%,0.786,187.7,,4,6,147.5,187.7,0.786,-1.8,,,,,,4,6,147.5,-2%,0.786,187.7,,4,6,150,190.8,0.786,0,,,,,,,4,7,152.5,-2%,0.811,188,,4,8,152.5,182.2,0.837,-4.7,,Day 2,,,,,,,,,,,,,,,
,,,2 sets,4,5,142.5,,0.762,187,,4,5,140,183.7,0.762,-2.1,,,,,2 sets,4,5,145,,0.762,190.3,,4,5,142.5,187,0.762,-2,,,,,,2 sets,4,6.5,145,,0.798,181.7,,4,7,145,178.8,0.811,-1.9,,Planned,,,,,,,,,Executed,,,,,,
,bench press,larsen press,,5,6,92.5,,0.762,121.4,bench ,5,5,92.5,125.2,0.739,,,,bench press,larsen press,,5,6.5,97.5,,0.774,126,bench ,5,6.5,100,129.2,0.774,,,,,bench press,larsen press,,5,6.5,100,,0.774,129.2,bench ,5,6.5,100,129.2,0.774,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop
,,,,5,5.5,95,,0.751,126.5,,5,5,92.5,125.2,0.739,#REF!,,,,,,5,6,97.5,,0.762,128,,5,6,95,124.7,0.762,#REF!,,,,,,,5,6,97.5,,0.762,128,,5,5,97.5,131.9,0.739,#REF!,,squat,ssb high bar paused,,6,5,105,,0.724,145,squat,6,5,105,145,0.724,
,,,2 sets,5,5,92.5,,0.739,125.2,,5,5,92.5,125.2,0.739,#REF!,,,,,2 sets,5,6,95,,0.762,124.7,,5,6,95,124.7,0.762,#REF!,,,,,,2 sets,5,6,100,,0.762,131.2,,5,5,97.5,131.9,0.739,#REF!,,,,,6,5,100,-5%,0.724,138.1,,7,5,100,141.4,0.707,-2.5
,,seated smith press,3 sets,10-12,7,,,,,,,,,,,,,,,seated smith press,3 sets,10-12,7,,,,,,,,,,,,,,,,seated smith press,3 sets,10-12,7,,,,,,,,,,,,,,,2 sets,6,5,102.5,,0.724,141.6,,7,5,100,141.4,0.707,0
,,lateral raises,3 sets,10-12,10,,,,,,,,,,,,,,,lateral raises,3 sets,10-12,10,,,,,,,,,,,,,,,,lateral raises,3 sets,10-12,10,,,,,,,,,,,,,bench press,2 finger closer grip,,5,5,97.5~,,0.739,#VALUE!,bench ,5,5,100,135.3,0.739,
D3,Planned,,,,,,,,,Executed,,,,,,,,D3,Planned,,,,,,,,,Executed,,,,,,,,,D3,Planned,,,,,,,,,Executed,,,,,,,,,,3 sets,5,5,100,,0.739,135.3,,5,5,100,135.3,0.739,#REF!
,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,,Exercise,,NOTES,Reps,RPE,weight,% drop,%,e1rm,NOTES,Reps,RPE,weight,e1rm,%,% drop,,,lateral raises,3 sets,10-12,5,,,,,,,,,,,
,bench press,comp paused,,3,6.5,107.5~110,,0.824,#VALUE!,bench ,3,7,110,131.4,0.837,,,,bench press,comp paused,,3,7.5,112.5,,0.850,132.4,bench ,3,7,112.5,134.4,0.837,,,,,bench press,comp paused,,3,8.5,115~117.5,,0.878,#VALUE!,bench ,3,10,117.5,127.4,0.922,,,,rear delt fly,3 sets,10-12,5,,,,,,,,,,,
